OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-02-09T04:18:31.234752,15.3102564,0.0001463,53.1562,311.3599,104.1737,255.9427,0,U,44714,999,34450,4.4879e-05,1.001e-05,0.0
STARLINK-1012,2019-074F,2026-02-09T00:19:41.413728,15.30196893,0.00015206,53.1604,312.0051,79.2861,280.8311,0,U,44718,999,34447,0.00018394061,5.092e-05,0.0
STARLINK-1017,2019-074L,2026-02-09T02:59:14.691840,15.21735301,0.00031763,53.0473,302.9827,103.691,256.444,0,U,44723,999,34461,0.00046579887,0.00010375,0.0
STARLINK-1019,2019-074M,2026-02-09T22:00:03.000096,15.72919999,0.0010478,53.049,275.5396,102.6714,211.815,0,U,44724,999,600,0.00097746,0.0013759,0.0
STARLINK-1020,2019-074N,2026-02-09T05:19:27.527232,15.06403872,0.0001388,53.0545,334.414,74.4865,285.6277,0,U,44725,999,34417,5.2958e-05,5.08e-06,0.0
STARLINK-1031,2019-074Z,2026-02-09T22:00:03.000096,15.78779245,0.0005628,53.0475,260.4136,136.5388,14.7214,0,U,44736,999,601,0.0010441,0.0019101,0.0
STARLINK-1036,2019-074AE,2026-02-09T03:56:57.303168,15.50048197,0.00065896,53.0557,325.9956,111.8529,248.3181,0,U,44741,999,34429,0.0016459932,0.00094728,0.0
STARLINK-1039,2019-074AH,2026-02-09T06:46:02.091360,15.19335248,0.0006752,53.0491,345.4163,96.2472,263.9291,0,U,44744,999,34403,0.0021605,0.00046214,0.0
STARLINK-1042,2019-074AL,2026-02-09T18:45:09.067680,15.48336373,0.0003457,53.0438,228.5371,104.4602,255.6789,0,U,44747,999,34574,0.00046186,0.00024465,0.0
STARLINK-1043,2019-074AM,2026-02-09T01:52:45.686784,15.51735928,0.00027139,53.0544,332.3328,60.9179,299.2101,0,U,44748,999,34420,0.00051794998,0.00031066,0.0
STARLINK-1046,2019-074AQ,2026-02-09T05:31:47.005824,15.41666415,0.0007587,53.0561,345.8566,86.4948,273.6924,0,U,44751,999,34402,0.00051867,0.00021873,0.0
STARLINK-1047,2019-074AR,2026-02-09T01:21:55.092096,15.31904534,0.00048481,53.0705,279.693,119.0551,241.0935,0,U,44752,999,34495,0.00034284821,0.00010358,0.0
STARLINK-1048,2019-074AS,2026-02-09T22:00:03.000096,15.49941232,0.0005553,53.0548,302.328,103.56,101.987,0,U,44753,999,591,0.00058008,0.00032693,0.0
STARLINK-1053,2019-074AX,2026-02-09T18:01:59.233728,15.80253876,0.0001351,53.0316,224.8073,223.7637,136.3277,0,U,44758,999,34577,0.00071914,0.00139535,0.0
STARLINK-1060,2019-074BE,2026-02-09T23:55:23.954592,16.16512956,0.0006276,53.0317,260.5805,251.0149,109.0207,0,U,44765,999,34527,0.00078241,0.01173159,0.00099827
