OBJECT_NAME,OBJECT_ID,anomaly_score,anomaly_factors,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-4418,2022-105AG,3,ECCENTRICITY=HIGH (0.001282 > 0.000535); INCLINATION=HIGH (97.616300 > 83.857200); MEAN_MOTION=HIGH (16.580399 > 16.566038),0.0012821,97.6163,0.0002076,16.5803994
STARLINK-1007,2019-074A,2,ECCENTRICITY=HIGH (0.000832 > 0.000535); BSTAR=HIGH (0.005844 > 0.004463),0.0008324,53.0382,0.0058439,16.29877576
STARLINK-1025,2019-074T,2,ECCENTRICITY=HIGH (0.001788 > 0.000535); BSTAR=HIGH (0.005001 > 0.004463),0.0017884,53.0025,0.0050012,16.34730305
STARLINK-1089,2020-001BF,2,ECCENTRICITY=HIGH (0.000886 > 0.000535); BSTAR=HIGH (0.006716 > 0.004463),0.0008855,53.045,0.0067156,16.16878733
STARLINK-1099,2020-001E,2,ECCENTRICITY=HIGH (0.000576 > 0.000535); BSTAR=HIGH (0.004922 > 0.004463),0.0005759,53.0409,0.0049218,16.25122044
STARLINK-11125,2024-091A,2,ECCENTRICITY=HIGH (0.001078 > 0.000535); BSTAR=HIGH (0.005487 > 0.004463),0.0010776,53.1256,0.0054873,16.26905617
STARLINK-11459,2024-254C,2,ECCENTRICITY=HIGH (0.001156 > 0.000535); BSTAR=HIGH (0.009633 > 0.004463),0.0011558,42.9778,0.009633,16.14110823
STARLINK-1155,2020-006K,2,ECCENTRICITY=HIGH (0.001224 > 0.000535); BSTAR=HIGH (0.004493 > 0.004463),0.0012236,52.9686,0.0044929,16.2487357
STARLINK-1160,2020-006AQ,2,ECCENTRICITY=HIGH (0.000976 > 0.000535); BSTAR=HIGH (0.004632 > 0.004463),0.0009755,53.0331,0.0046324,16.22746085
STARLINK-11612,2025-053N,2,ECCENTRICITY=HIGH (0.000696 > 0.000535); BSTAR=HIGH (0.007784 > 0.004463),0.00069625,42.987,0.0077836865,16.14114723
STARLINK-1165,2020-006R,2,ECCENTRICITY=HIGH (0.001063 > 0.000535); BSTAR=HIGH (0.004786 > 0.004463),0.001063,53.0341,0.0047856,16.24425692
STARLINK-1287,2020-019M,2,ECCENTRICITY=HIGH (0.000792 > 0.000535); BSTAR=HIGH (0.004505 > 0.004463),0.0007924,53.0348,0.0045053,16.29533865
STARLINK-1419,2020-035AP,2,ECCENTRICITY=HIGH (0.001626 > 0.000535); BSTAR=HIGH (0.006217 > 0.004463),0.0016256,53.0101,0.0062175,16.19062915
STARLINK-1421,2020-035BE,2,ECCENTRICITY=HIGH (0.000897 > 0.000535); BSTAR=HIGH (0.005549 > 0.004463),0.0008968,53.0312,0.0055493,16.23304678
STARLINK-1450,2020-035L,2,ECCENTRICITY=HIGH (0.001272 > 0.000535); BSTAR=HIGH (0.006490 > 0.004463),0.0012722,53.0376,0.0064898,16.14963823
STARLINK-1711,2020-062BB,2,ECCENTRICITY=HIGH (0.002283 > 0.000535); MEAN_MOTION=HIGH (16.572979 > 16.566038),0.0022831,53.0159,0.00029044,16.57297914
