OBJECT_NAME,OBJECT_ID,EPOCH,predicted_anomaly,lof_score,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4639,2022-125H,2026-02-09T23:10:43.316832,1,-28.23191176797705,16.12775102,0.0009953,53.1955,275.8826,219.5202,140.511,0.0020089,0.02174468,0.004939
STARLINK-1978,2021-009AE,2026-02-10T02:10:40.651392,1,-24.685779286466445,16.17847461,0.0005773,53.0256,40.9775,61.5062,298.6555,0.0012692,0.0197308,0.0043444
STARLINK-1986,2021-009AL,2026-02-10T01:31:04.850112,1,-24.323117286973122,16.13201994,0.0007426,53.0238,66.9515,39.6832,320.4745,0.0018432,0.02069898,0.0042648
STARLINK-35659,2025-257F,2026-02-09T07:54:08.930592,1,-8.849817502902553,15.31082342,0.0001797,53.1605,348.5993,83.733,276.3876,-0.015328,-0.00440486,0.0
STARLINK-35122,2025-198U,2026-02-09T11:40:02.107200,1,-8.360563898793345,15.32084773,0.0001785,53.1596,41.8812,85.816,274.3046,-0.011126,-0.00334671,0.0
STARLINK-35671,2025-257N,2026-02-09T10:42:26.731872,1,-8.018680960012116,15.30535556,0.0001541,53.1614,347.9031,94.8447,265.273,-0.010005,-0.00288516,0.0
STARLINK-31271,2024-017B,2026-02-09T06:46:37.763328,1,-7.951589155961862,15.30351641,0.0001267,53.1617,336.5025,87.6906,272.424,0.015483,0.0049211,0.0
STARLINK-2363,2021-021AV,2026-02-09T20:00:01.999008,1,-7.5316241678423435,15.292403,0.0001188,53.1674,24.6765,97.2774,299.2572,0.015048,0.00460205,0.0
STARLINK-4195,2022-062AS,2026-02-09T13:26:24.388800,1,-7.162742769124707,16.1733031,0.00023964,53.211,130.3336,3.618,356.4876,0.00086968553,0.01366923,0.0014937895
STARLINK-30451,2023-146Q,2026-02-10T01:19:59.782656,1,-7.025782248386413,16.037857,0.0001767,42.9969,84.9197,264.7465,95.3213,0.002325,0.01515938,0.0013894
STARLINK-30239,2023-096B,2026-02-09T07:19:12.342144,1,-6.52557947076591,15.02530568,0.0001094,43.0002,17.7412,27.6578,332.4322,0.0001296,1.547e-05,0.0
STARLINK-2354,2021-021AL,2026-02-09T20:00:01.999008,1,-6.22846866440695,15.11332867,7e-05,53.0714,36.6292,68.3201,315.2664,0.0070499,0.00121968,0.0
STARLINK-34946,2025-190S,2026-02-09T00:21:12.978720,1,-6.225442862568456,15.29904348,0.00011016,53.1572,301.4587,291.3342,68.7541,0.016354356,0.00514298,0.0
STARLINK-34020,2025-098P,2026-02-09T07:22:46.062048,1,-6.185126145196393,14.98323443,0.0003194,70.0081,345.9197,3.6834,356.4348,-0.00033457,-4.082e-05,0.0
STARLINK-34917,2025-175S,2026-02-09T20:00:01.999008,1,-6.107845372111172,15.05648002,0.0002819,97.6035,275.2306,80.6536,171.5553,-0.0028488,-0.00040932,0.0
STARLINK-35661,2025-257H,2026-02-09T07:40:44.474016,1,-6.0532356448869304,15.31301355,0.0002082,53.1613,348.5387,80.0753,280.0483,-0.0091274,-0.00270257,0.0
STARLINK-34515,2025-142S,2026-02-09T09:05:35.317536,1,-5.832511116667748,14.98165283,0.0005248,70.0021,25.6675,262.1231,97.9332,0.0062396237,0.0007485,0.0
STARLINK-35721,2025-294S,2026-02-09T19:41:37.814784,1,-5.761803905444288,15.37612596,0.0002699,42.9989,195.7497,241.3378,118.7206,-0.010724,-0.00385229,0.0
STARLINK-5919,2023-037P,2026-02-09T09:44:09.506976,1,-5.357990755922503,14.98546197,0.00049971,70.0011,15.6461,325.1053,34.9777,0.0023104995,0.00027744,0.0
STARLINK-30102,2023-105E,2026-02-09T09:55:56.356608,1,-5.304814628259058,15.02518351,6.388e-05,42.9957,55.5954,58.9486,301.1419,-2.4393274e-05,-5.33e-06,0.0
STARLINK-33895,2025-098J,2026-02-09T18:41:46.805280,1,-5.2955034317808,14.97949684,0.0006764,70.0073,344.7621,339.0523,21.0358,-0.018338,-0.00210495,0.0
STARLINK-35964,2025-278F,2026-02-09T19:29:11.411232,1,-5.183484082164093,15.30859232,0.0002627,42.9983,256.9214,293.1863,66.8713,-0.012511,-0.0036326,0.0
STARLINK-2624,2021-038F,2026-02-08T12:34:13.886112,1,-5.126606591448566,15.06653781,0.000251,53.0545,132.5547,128.6429,231.4785,0.0076238,0.00115951,0.0
STARLINK-34407,2025-126D,2026-02-09T16:00:00.999936,1,-4.828640156850865,14.98326651,0.000329,70.0003,105.2202,275.3503,11.4155,0.0011781,0.00013991,0.0
STARLINK-3051,2021-082AD,2026-02-09T05:14:42.142848,1,-4.77686311758939,15.04467697,0.0006512,69.9999,344.2651,285.8792,74.1652,0.00032007,4.392e-05,0.0
STARLINK-1502,2020-038AL,2026-02-09T22:00:03.000096,1,-4.6738022696397135,15.37711886,0.0001408,53.0541,338.172,80.9859,240.322,0.015652,0.00631369,0.0
STARLINK-33986,2025-094G,2026-02-09T18:46:53.673888,1,-4.595580058605665,14.98757578,0.0004689,70.0029,304.7916,271.6635,88.3987,0.014298,0.0017684,0.0
