OBJECT_NAME,OBJECT_ID,predicted_anomaly,lof_score,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-1145,2020-006Y,1,-40.63792362947382,0.0603455,52.2463,0.0001,16.35636332
STARLINK-34003,2025-094U,1,-19.60096799261696,0.0003578,70.0004,0.0015228,15.42777357
STARLINK-34379,2025-123M,1,-18.408267672535157,0.0001888,70.0013,0.0012702,15.42726144
STARLINK-4572,2022-105AW,1,-18.07644941822108,0.00018334,97.6185,0.00029165204,15.21032701
STARLINK-1362,2020-025H,1,-17.417382479666152,0.00019302,53.1641,-0.0077249033,15.29922952
STARLINK-6214,2023-064AJ,1,-17.105353680328072,0.0003148,69.9924,0.0003161,15.2177856
STARLINK-3448,2022-016Q,1,-15.387258133894838,0.0235087,53.6456,0.002734,16.10805178
STARLINK-1185,2020-006AV,1,-14.934278406055395,0.0001142,53.1589,3.0672e-05,15.32708153
STARLINK-30924,2023-180L,1,-12.76229072719293,0.0001444,43.0017,3.5967e-05,15.32102613
STARLINK-36755,2026-026F,1,-9.682265339085735,0.00016648,97.2846,0.0017641533,15.49187679
STARLINK-36746,2026-026N,1,-9.566900876450877,0.0001275,97.2846,0.0015884,15.49217972
STARLINK-36708,2026-025W,1,-9.35007334777671,0.0001543,97.2848,-0.0015994,15.49208658
STARLINK-1816,2020-073AW,1,-8.5809663724277,0.0001091,53.0405,0.00067869,15.74211333
STARLINK-2728,2021-040BC,1,-8.518142603253457,0.0001313,53.1578,-0.0029882,15.29391265
STARLINK-6197,2023-078A,1,-8.066178284634386,0.00073767,69.9933,0.00073989303,15.17055792
STARLINK-30189,2023-105A,1,-8.005303501717476,0.0001691,42.9988,0.0040132,15.52271183
STARLINK-3107,2021-082AT,1,-7.724150773351953,0.0007239,69.9934,0.0013057,15.10577093
STARLINK-4446,2022-099AS,1,-7.543902302231085,0.0001232,97.6024,0.013209,15.41110709
STARLINK-34059,2025-094J,1,-7.490998075933703,0.0007749,70.0018,0.00064189,14.98390164
STARLINK-36179,2025-299T,1,-7.481847301503945,0.0001443,43.0016,-0.010853,15.28598995
STARLINK-1911,2020-074L,1,-7.386475116378305,8.97e-05,53.0467,0.00076336,15.72382237
STARLINK-6355,2023-099AE,1,-7.1644825360161715,0.0001208,43.0023,-0.0007325,15.02471238
STARLINK-31432,2024-106L,1,-7.157786176874408,0.0002562,42.9998,-0.0050158,15.27543516
STARLINK-5056,2022-119AA,1,-6.853705969236034,0.01142137,53.2039,0.033404886,16.05679517
STARLINK-2446,2021-018BK,1,-6.590702743472865,0.00013212,53.1625,2.480103e-05,15.31023947
STARLINK-2569,2021-036B,1,-6.569436536774037,0.0001673,53.128,-0.00078829,15.23860526
STARLINK-6312,2023-065AK,1,-6.5511541300563465,0.0001318,43.0032,-0.00073891,15.02574438
STARLINK-30067,2023-067F,1,-6.514697438551328,0.0002201,43.0032,-0.0017851,15.02657278
STARLINK-1262,2020-019G,1,-6.488716777633132,0.0001278,53.1561,4.2024e-05,15.29346425
STARLINK-36858,2026-040G,1,-6.458300079315616,9.31e-05,97.2755,0.0012293,16.06667413
STARLINK-11156,2024-164G,1,-6.33637643186489,0.00013094,53.1584,0.00024340928,15.7177049
STARLINK-4578,2022-125B,1,-6.273843757628168,0.0002299,53.2176,0.0093223,15.65072736
STARLINK-4346,2022-077AG,1,-5.8908838204155485,0.000474,97.6383,0.00031046,15.2050565
STARLINK-31108,2024-005L,1,-5.875878507651857,0.0004097,43.0021,-0.0028791,15.26853153
STARLINK-11168,2024-124A,1,-5.8225889972750595,6.03e-05,53.1591,-0.00048895,15.70001871
STARLINK-5895,2023-037BC,1,-5.629476532568903,0.0005426,69.9967,0.0014758,15.07334133
STARLINK-4496,2022-097AA,1,-5.514415762712129,0.0001274,53.2167,-0.0010977,15.08803723
STARLINK-3051,2021-082AD,1,-5.501859982417832,0.0006338,69.9975,0.00022437,15.04620965
STARLINK-36144,2026-033J,1,-5.477212065191508,0.00034781,42.9976,-0.0023805274,15.81396851
STARLINK-6271,2023-061Z,1,-5.432142761703437,0.0001592,43.0002,-0.00049119,15.05814639
