OBJECT_NAME,NORAD_CAT_ID,INCLINATION,APOAPSIS,PERIAPSIS,BSTAR,iso_score,pca_score,combined_score,anomaly_flag
STARLINK-34613,65294,97.6013,550.794,548.238,0.00036256,0.38801837216104035,0.04145825940371918,0.21473831578237976,0
STARLINK-34834,65295,97.6028,549.969,548.931,0.00033352,0.4013188625439785,0.042397916031521925,0.22185838928775023,0
STARLINK-34872,65296,97.6023,550.418,548.56,0.00034841,0.35074012615224864,0.04126128476508866,0.19600070545866866,0
STARLINK-34899,65323,53.1582,476.226,474.098,0.00098613,0.06244442912909803,0.0014267374858350245,0.03193558330746653,0
STARLINK-34881,65347,53.1576,476.022,474.573,0.0010418,0.13478962028243138,0.0090757121122662,0.0719326661973488,0
STARLINK-34859,65348,53.1574,476.026,474.446,0.00041493,0.09317997260725208,0.007286836808036118,0.0502334047076441,0
STARLINK-34895,65349,53.1582,476.165,474.098,0.0013579,0.1707213793058477,0.00897924729554591,0.0898503133006968,0
STARLINK-34892,65350,53.1595,476.125,474.253,0.001720926,0.10544770957237057,0.003213538566380782,0.05433062406937567,0
STARLINK-34196,65324,53.1609,476.001,474.341,0.00084334766,0.030475194077175752,0.001662556847834801,0.016068875462505277,0
STARLINK-34911,65325,53.1594,476.122,474.541,0.00048632119,0.10521414755287789,0.00788936938730696,0.056551758470092424,0
STARLINK-34902,65326,53.1576,475.875,474.605,0.00092005,0.11151497719372974,0.0075073948544638535,0.059511186024096795,0
STARLINK-34880,65327,53.1576,476.109,474.332,0.00046873,0.023973762643772097,0.0014182092626905003,0.0126959859532313,0
STARLINK-34885,65328,53.1576,476.19,474.056,0.0013587,0.1171507727635387,0.004445898265009993,0.06079833551427435,0
STARLINK-34908,65329,53.1584,476.148,474.188,0.001056,0.08024065542098971,0.003684974200443546,0.04196281481071663,0
STARLINK-34864,65330,53.1584,475.967,474.381,0.0012079,0.0444965510910666,0.0011325276930223786,0.02281453939204449,0
STARLINK-34918,65331,53.1578,476.56,473.775,0.00097966,0.13739345181048304,0.005802234543574156,0.0715978431770286,0
STARLINK-33890,65332,53.1594,476.071,474.23,0.0011228,0.05242977801431015,0.00183332494549871,0.02713155147990443,0
STARLINK-34602,65333,53.1605,475.804,474.847,0.0014911047,0.1806142307605765,0.010547554283475275,0.0955808925220259,0
STARLINK-34878,65334,53.1607,476.221,474.159,0.0010751065,0.08965605827351644,0.003504686161970943,0.04658037221774369,0
STARLINK-34874,65335,53.1593,476.441,473.994,0.00096070652,0.10663711922014531,0.003529460918100569,0.05508329006912294,0
STARLINK-34835,65336,53.161,476.002,474.314,0.00096178169,0.1541343307733519,0.010284706778000089,0.08220951877567599,0
STARLINK-34854,65337,53.1592,475.933,474.19,0.0012908,0.14610308296324134,0.007229142773771615,0.07666611286850648,0
STARLINK-34751,65338,53.1587,475.858,474.514,0.00088541,0.22749829352633108,0.013768458815565416,0.12063337617094824,0
STARLINK-34777,65339,53.1574,475.87,474.558,0.00026894,0.10229276756974118,0.007951092463035417,0.0551219300163883,0
STARLINK-35020,65340,53.1611,476.812,473.533,0.001147523,0.3122281327995094,0.01925518294956695,0.16574165787453818,0
STARLINK-35016,65341,53.1582,475.953,474.472,0.00063434,0.2326871018721036,0.014498688206825311,0.12359289503946445,0
STARLINK-35092,65342,53.1603,475.566,474.823,0.001258,0.10598312106672468,0.007868171653719698,0.05692564636022219,0
STARLINK-34838,65343,53.161,476.074,474.229,0.001025878,0.033105694617249805,0.0005404253058742446,0.016823059961562026,0
STARLINK-35088,65344,53.1595,477.215,473.232,0.0012781279,0.23837603699804885,0.011815138257422947,0.1250955876277359,0
STARLINK-34831,65345,53.1582,476.214,474.13,0.0012684,0.06664726968070916,0.0,0.03332363484035458,0
STARLINK-34873,65346,53.1606,475.755,474.536,0.0012165,0.12991311725364132,0.008743924917160095,0.0693285210854007,0
STARLINK-34244,65351,53.1585,476.023,474.512,0.00070207,0.2548203335916896,0.017355636378530107,0.13608798498510985,0
STARLINK-34305,65375,53.1605,476.055,474.294,0.00083364,0.03772618210231159,0.0026159357130994287,0.020171058907705507,0
STARLINK-34249,65376,53.1585,476.185,474.145,0.00090596,0.12375472933378763,0.007876520562119488,0.06581562494795357,0
STARLINK-34879,65377,53.16,475.802,474.597,0.00064762,0.07620117547917396,0.00732932004145384,0.0417652477603139,0
STARLINK-34912,65378,53.1585,475.977,474.46,0.00011328,0.010382203140676307,0.003092782751760481,0.006737492946218394,0
STARLINK-34716,65352,53.16,476.33,474.314,-0.00019918,0.12383021313280089,0.008495757520422226,0.06616298532661155,0
STARLINK-34828,65353,53.159,475.466,474.857,0.00092428,0.08430591885803031,0.008594818471155383,0.046450368664592845,0
STARLINK-34785,65354,53.1582,476.146,474.408,0.00073668,0.018663145137416907,0.0009644398805615209,0.009813792508989214,0
STARLINK-34823,65355,53.1599,475.782,474.61,0.00089274,0.17378260910297394,0.012168610021880775,0.09297560956242736,0
STARLINK-34680,65356,53.1584,476.068,474.461,0.00070881,0.02241200582157946,0.0025030436829858774,0.012457524752282668,0
STARLINK-34860,65357,53.159,475.882,474.557,0.00092339,0.22857437253390955,0.01421149674510716,0.12139293463950836,0
STARLINK-34782,65358,53.1575,476.06,474.428,0.00051063,0.018629325426388597,0.0022209637811632936,0.010425144603775945,0
STARLINK-34760,65359,53.1583,476.029,474.474,0.0006548,0.10156152608124919,0.008514292723149514,0.05503790940219935,0
STARLINK-34826,65360,53.1585,476.13,474.423,0.0012402,0.041419564888841666,0.0008266959260437774,0.021123130407442722,0
STARLINK-34800,65361,53.1586,475.834,474.556,0.00088517,0.09315140194714074,0.006942033849957623,0.05004671789854918,0
STARLINK-34817,65362,53.1577,475.956,474.58,0.00022707,0.014966036426323008,0.0028039238991738203,0.008884980162748414,0
STARLINK-34797,65363,53.1587,476.126,474.369,0.0006748,0.03321301010236206,0.002781463073198072,0.017997236587780064,0
STARLINK-34729,65364,53.1598,475.802,474.642,0.00077483,0.08371482229434367,0.007606197810607298,0.045660510052475484,0
STARLINK-34710,65365,53.1583,475.895,474.363,0.0011415,0.06153443400462267,0.004153602550284388,0.03284401827745353,0
STARLINK-34943,65366,53.1579,475.915,474.571,0.00064537,0.08024099434893199,0.0067096784135292275,0.043475336381230606,0
STARLINK-34946,65367,53.1585,475.839,474.612,0.00083448,0.04694594758210724,0.003838957592740627,0.025392452587423932,0
STARLINK-34259,65368,53.1581,475.871,474.606,0.00060713,0.026937969037176844,0.0031385131179440316,0.015038241077560438,0
STARLINK-34913,65369,53.1588,475.967,474.435,0.00097637,0.03068140645780865,0.0020019259336383466,0.016341666195723498,0
STARLINK-34870,65370,53.1599,475.924,474.534,0.00084339,0.03384620152777029,0.002929326207335744,0.018387763867553017,0
STARLINK-34869,65371,53.1594,476.047,474.564,0.00020976,0.018221466986255156,0.0034138854249219927,0.010817676205588574,0
STARLINK-34903,65372,53.1607,476.29,474.008,0.00095227,0.27753800527755224,0.017824190290111376,0.14768109778383182,0
STARLINK-34891,65373,53.1574,475.73,474.805,0.00091186,0.17284917925550855,0.011826660846373845,0.0923379200509412,0
STARLINK-34900,65374,53.1592,476.138,474.346,0.00080927,0.20080143697458241,0.012528385427918617,0.10666491120125052,0
