constellation,OBJECT_NAME,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,REV_AT_EPOCH,ELEMENT_SET_NO,OBJECT_TYPE,DECAY_DATE
StarLink,STARLINK-31,44235,2020-10-01T07:31:19.437888,16.46847225,0.00090410,52.9736,36.3928,295.9879,160.3065,0.00018159000000,0.09808971,0.0000126230000,6525.788,87.439,153.553,141.753,7697,999,PAYLOAD,2020-10-01
StarLink,STARLINK-52,44259,2020-10-13T17:23:45.076992,16.33038265,0.00065390,52.9866,227.4445,235.7240,124.3359,0.00141090000000,0.08958567,0.0000121150000,6562.524,88.179,188.680,180.098,7918,999,PAYLOAD,2020-10-13
StarLink,STARLINK-45,44260,2020-09-04T07:45:46.533600,16.38652946,0.00094120,52.9913,174.9865,250.3159,109.8966,0.00211110000000,0.25127740,0.0000122740000,6547.525,87.877,175.552,163.227,7159,999,PAYLOAD,2020-09-04
StarLink,STARLINK-44,44261,2020-09-05T02:13:09.311232,16.35234008,0.00061190,52.9831,172.1242,239.5454,120.5504,0.00241190000000,0.19263879,0.0000121820000,6556.648,88.060,182.525,174.501,7165,999,PAYLOAD,2020-09-05
StarLink,STARLINK-49,44262,2020-09-27T20:12:36.285696,16.23728101,0.00089650,53.0037,53.0192,308.6530,51.7564,0.00276350000000,0.07478847,0.0000119840000,6587.586,88.684,215.356,203.545,7533,999,PAYLOAD,2020-09-29
StarLink,STARLINK-72,44263,2020-10-15T11:24:14.113440,16.49183723,0.00033300,52.9820,318.7786,292.8532,67.5533,0.00016439000000,0.12398314,0.0000126430000,6519.622,87.315,143.659,139.316,7817,999,PAYLOAD,2020-10-16
StarLink,STARLINK-35,44264,2020-09-16T16:58:24.439584,16.41142759,0.00049770,52.9869,110.3679,298.2751,61.7792,0.00114250000000,0.18133919,0.0000124370000,6540.901,87.743,166.021,159.510,7351,999,PAYLOAD,2020-09-16
StarLink,STARLINK-63,44265,2020-10-13T16:16:39.726048,16.40378467,0.00005780,52.9803,332.3076,316.8106,43.5401,0.00204660000000,0.29311092,0.0000123810000,6542.932,87.784,165.176,164.419,7785,999,PAYLOAD,2020-10-13
StarLink,STARLINK-54,44266,2020-09-14T20:31:28.168896,16.52546679,0.00201370,52.9827,119.6547,244.8039,224.0760,0.00010000000000,0.16097244,0.0000125720000,6510.774,87.138,145.750,119.529,7318,999,PAYLOAD,2020-09-15
StarLink,STARLINK-69,44267,2020-09-15T23:53:25.924416,16.31646927,0.00063510,52.9852,113.5784,300.7439,212.2782,0.00190640000000,0.10522816,0.0000121900000,6566.254,88.254,192.289,183.949,7341,999,PAYLOAD,2020-09-16
